,customer_id,Name,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
0,fffe4300490044003600300030003800,Pattie Morrisey,18.0,F,XW0DQ7H,Village,Platinum Membership,20170817,No,,Gift Vouchers/Coupons,unknown,WiFi,16:08:02,17.0,300.63,53005.25,170,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,2.0
1,fffe43004900440032003100300035003700,Traci Peery,32.0,F,5K0N3X1,City,Premium Membership,20170828,unknown,CID21329,Gift Vouchers/Coupons,Desktop,MobileData,12:38:13,16.0,306.34,12838.38,100,687.4398592783969,Yes,No,Yes,Solved,Quality Customer Care,1.0
2,fffe4300490044003100390032003600,Merideth Mcmeen,44.0,F,1F2TCL3,Town,No Membership,20161111,Yes,CID12313,Gift Vouchers/Coupons,Desktop,WiFi,22:53:21,14.0,516.16,21027.0,220,500.69,No,Yes,Yes,Solved in Followup,Poor Website,5.0
3,fffe43004900440036003000330031003600,Eufemia Cardwell,37.0,M,VJGJ33N,City,No Membership,20161029,Yes,CID3793,Gift Vouchers/Coupons,Desktop,MobileData,15:57:50,11.0,53.27,25239.56,60,567.66,No,Yes,Yes,Unsolved,Poor Website,5.0
4,fffe43004900440031003900350030003600,Meghan Kosak,31.0,F,SVZXCWB,City,No Membership,20170912,No,,Credit/Debit Card Offers,Smartphone,MobileData,15:46:44,20.0,113.13,24483.66,160,663.06,No,Yes,Yes,Solved,Poor Website,5.0
5,fffe43004900440036003300320035003300,Leslie Browder,13.0,M,PSG1LGF,City,Gold Membership,20160108,No,,Gift Vouchers/Coupons,unknown,WiFi,06:46:07,23.0,433.62,13884.77,240,722.27,Yes,No,Yes,Unsolved,No reason specified,3.0
6,fffe43004900440031003100360037003900,Bridget Balog,21.0,M,R3CX1EA,Town,Gold Membership,20150319,Yes,CID24708,Gift Vouchers/Coupons,Desktop,MobileData,11:40:04,10.0,55.38,8982.5,280,756.21,Yes,No,Yes,Solved in Followup,No reason specified,3.0
7,fffe4300490044003800300035003800,Herma Torgeson,42.0,M,4UJ1551,unknown,No Membership,20160712,unknown,CID56614,Credit/Debit Card Offers,Both,FiberOptic,07:52:43,19.0,429.11,44554.82,240,568.08,No,Yes,Yes,Unsolved,Poor Product Quality,5.0
8,fffe43004900440033003300330032003200,Pattie Helmers,44.0,M,0481QNQ,Village,Silver Membership,20161214,No,,Without Offers,Smartphone,FiberOptic,06:50:10,15.0,191.07,18362.31,200,687.4398592783969,Yes,No,Yes,Solved in Followup,Poor Customer Service,3.0
9,fffe43004900440032003000340038003300,Shaquana Leech,45.0,F,ZHP4MCR,Town,No Membership,20161130,No,,Gift Vouchers/Coupons,unknown,WiFi,19:10:16,10.0,97.31,19244.16,280,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,4.0
10,fffe43004900440035003200390031003400,Mariana Hakes,25.0,F,OKZ6GDD,Village,Basic Membership,20160522,Yes,CID19275,Gift Vouchers/Coupons,Both,WiFi,05:57:20,14.0,570.23,35119.93,80,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,5.0
11,fffe4300490044003500380036003900,Polly Medders,60.0,M,KPI9DD5,City,Gold Membership,20160113,No,,Gift Vouchers/Coupons,Smartphone,WiFi,11:56:11,14.0,55.53,41672.02,3302434314076341,798.12,Yes,No,No,Not Applicable,Too many ads,3.0
12,fffe43004900440032003600350039003300,Jong Vincelette,11.0,M,G2FTZTL,Town,No Membership,20150131,No,,Credit/Debit Card Offers,Smartphone,FiberOptic,04:42:50,13.0,41.09,44007.18,180,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,4.0
13,fffe43004900440033003700320038003200,Jenni Gallaway,34.0,M,S71G75R,City,Basic Membership,20161207,Yes,CID10856,Gift Vouchers/Coupons,Smartphone,FiberOptic,08:35:05,10.0,89.76,21318.19,60,687.4398592783969,No,Yes,No,Not Applicable,Poor Product Quality,4.0
14,fffe43004900440033003600310031003900,Dorothy Taul,40.0,M,QAL9ZY2,City,Premium Membership,20161119,No,,Without Offers,unknown,FiberOptic,21:01:43,20.0,100.59,14842.62,260,687.4398592783969,No,Yes,No,Not Applicable,Poor Website,3.0
15,fffe43004900440035003100340033003400,Stephane Pullum,16.0,F,YTBUOEE,Town,Basic Membership,20170709,unknown,CID35062,Credit/Debit Card Offers,Smartphone,FiberOptic,13:48:22,-4.0,30.14,18792.31,70,393.91499999999985,Yes,No,Yes,Unsolved,Too many ads,5.0
16,fffe4300490044003100300039003400,Laree Lachowicz,57.0,F,RZ6TPTR,City,No Membership,20160127,No,,Without Offers,unknown,WiFi,20:58:28,5.0,333.34,47241.32,80,687.4398592783969,Yes,Yes,Yes,Solved in Followup,Too many ads,5.0
17,fffe43004900440032003400320030003600,Tara Wilburn,11.0,M,3GHN9RC,Town,Silver Membership,20170102,Yes,CID22930,Gift Vouchers/Coupons,unknown,WiFi,03:42:26,12.0,275.13,29072.86,260,733.97,Yes,No,No,Not Applicable,Poor Customer Service,3.0
18,fffe4300490044003200380034003700,Bulah Pietrzak,39.0,M,DYK6E24,Town,No Membership,20171101,No,,Credit/Debit Card Offers,Smartphone,FiberOptic,15:39:05,9.0,241.74,33170.16,60,551.11,Yes,No,Yes,No Information Available,No reason specified,5.0
19,fffe43004900440034003200330033003200,Mei Corum,45.0,M,XYB1CDG,City,Premium Membership,20160203,No,,Without Offers,unknown,MobileData,11:46:54,14.0,31.15,66982.61,80,393.91499999999985,Yes,No,Yes,Unsolved,Products always in Stock,2.0
20,fffe4300490044003700340034003400,Alethia Chauncey,33.0,M,7L21LW8,Village,No Membership,20151203,No,,Without Offers,Desktop,WiFi,18:50:35,15.0,49.86,44289.97,250,703.96,Yes,No,No,Not Applicable,Poor Customer Service,4.0
21,fffe43004900440035003000380032003400,Arletha Bye,30.0,M,B6OEP7V,Village,No Membership,20160729,Yes,CID53809,Gift Vouchers/Coupons,Smartphone,MobileData,08:55:48,21.0,30.37,49404.86,230,630.61,Yes,No,Yes,No Information Available,Poor Website,5.0
22,fffe43004900440035003800300036003400,Leslie Kosinski,19.0,F,6EV1QAQ,Town,Platinum Membership,20170122,No,,Gift Vouchers/Coupons,unknown,MobileData,23:04:40,15.0,483.03,52702.67,30,393.91499999999985,No,Yes,Yes,No Information Available,User Friendly Website,2.0
24,fffe43004900440034003800300030003400,Anisha Oddo,43.0,M,X0YDRG9,City,No Membership,20150814,No,,Credit/Debit Card Offers,Desktop,FiberOptic,06:23:02,17.0,108.3,21725.57,210,393.91499999999985,No,Yes,No,Not Applicable,Poor Website,4.0
25,fffe43004900440033003900360031003500,Raina Tracey,29.0,F,5SWULVO,Town,Silver Membership,20160409,No,,Without Offers,Desktop,FiberOptic,20:56:20,18.0,300.38,12069.06,70,777.31,No,Yes,No,Not Applicable,Too many ads,3.0
26,fffe43004900440035003200360038003600,Fabiola Tucci,10.0,M,3I9LEFE,City,Gold Membership,20151110,Yes,CID60798,Credit/Debit Card Offers,unknown,WiFi,17:25:38,1.0,100.65,8515.5,60,757.7,Yes,No,No,Not Applicable,No reason specified,3.0
27,fffe43004900440032003600310034003300,Karri Handley,20.0,F,UOAPI3L,Village,No Membership,20161208,No,,Gift Vouchers/Coupons,Desktop,WiFi,18:29:25,22.0,272.31,42743.44,120,687.26,Yes,No,No,Not Applicable,Poor Product Quality,5.0
28,fffe43004900440033003900390037003900,Torri Mendelsohn,61.0,F,QUU2V55,Village,Silver Membership,20170514,unknown,CID29752,Gift Vouchers/Coupons,unknown,FiberOptic,07:48:25,17.0,-384.96999999999997,29156.1,100,710.38,Yes,No,Yes,No Information Available,No reason specified,4.0
29,fffe43004900440034003400380037003600,Cuc Cousin,10.0,M,96ZHX6P,Town,Gold Membership,20160112,No,,Credit/Debit Card Offers,unknown,WiFi,10:16:14,4.0,127.37,15719.24,100,634.88,Yes,No,Yes,Unsolved,Poor Website,4.0
30,fffe43004900440032003700370033003400,Genoveva Harriston,17.0,F,KX657II,City,No Membership,20151125,unknown,CID40054,Without Offers,Desktop,FiberOptic,21:06:46,20.0,162.93,31100.95,110,633.05,No,Yes,Yes,Solved,Too many ads,5.0
31,fffe43004900440033003900310035003500,Augustus Bains,60.0,M,PBUM281,Town,No Membership,20161102,Yes,CID12220,Without Offers,Desktop,FiberOptic,20:03:13,18.0,498.09,48125.94,270,687.4398592783969,No,Yes,No,Not Applicable,Poor Product Quality,5.0
32,fffe43004900440035003800330038003500,Jena Mckeown,11.0,F,ZYEBIID,unknown,Gold Membership,20160728,Yes,CID26584,Without Offers,Desktop,WiFi,09:36:43,10.0,185.53,60143.68,40,836.08,Yes,No,Yes,Solved in Followup,User Friendly Website,1.0
33,fffe43004900440033003300310034003000,Franklin Cranfield,60.0,M,EUGPHWZ,City,Gold Membership,20170702,Yes,CID45046,Gift Vouchers/Coupons,Both,FiberOptic,02:31:33,11.0,537.25,1773.49,60,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,3.0
34,fffe43004900440035003700370038003600,Narcisa Hakes,12.0,M,ZQJOXJX,City,Premium Membership,20150302,No,,Credit/Debit Card Offers,Desktop,WiFi,21:45:25,8.0,198.26,26105.24,70,721.36,Yes,No,No,Not Applicable,Poor Customer Service,3.0
35,fffe43004900440032003200350033003200,Shanae Zielinski,52.0,M,C229QZZ,Town,Silver Membership,20151008,No,,Gift Vouchers/Coupons,Smartphone,WiFi,23:17:22,9.0,119.47,10101.48,280,393.91499999999985,Yes,No,No,Not Applicable,Poor Website,4.0
36,fffe43004900440032003200360039003000,Regenia Angeles,30.0,M,U49RAKX,City,Basic Membership,20161013,Yes,CID37735,Gift Vouchers/Coupons,Smartphone,MobileData,22:46:55,15.0,68.19,21111.9,230,574.01,Yes,Yes,Yes,Solved in Followup,Poor Customer Service,5.0
37,fffe43004900440032003900370032003900,Russell Devlin,26.0,M,06HDP63,unknown,No Membership,20171129,Yes,CID39260,Without Offers,Desktop,WiFi,14:55:59,3.0,215.89,41979.65,90,687.4398592783969,No,Yes,No,Not Applicable,Too many ads,5.0
38,fffe43004900440033003300300035003500,Shawna May,26.0,F,FRAOIDA,Town,No Membership,20170701,Yes,CID26444,Without Offers,Desktop,WiFi,04:16:41,20.0,194.85,5912.06,130,568.34,Yes,No,No,Not Applicable,Too many ads,5.0
39,fffe43004900440034003100390036003500,Desire Rieder,49.0,F,M9F3TE2,Village,Platinum Membership,20170609,Yes,CID18445,Credit/Debit Card Offers,Both,FiberOptic,23:11:17,8.0,706.36,19062.25,Error,780.58,Yes,No,No,Not Applicable,Poor Product Quality,3.0
40,fffe43004900440033003100300031003300,Manual Hodges,24.0,M,FRLCXCJ,City,Premium Membership,20161010,unknown,CID53825,Without Offers,Desktop,FiberOptic,21:06:08,15.0,210.44,35531.98,250,745.49,Yes,No,No,Not Applicable,Poor Product Quality,3.0
41,fffe43004900440032003700330038003500,Xenia Oakman,22.0,M,YNN4REK,Town,No Membership,20170602,Yes,CID48405,Without Offers,unknown,WiFi,00:22:50,4.0,-384.96999999999997,8415.63,170,650.44,No,Yes,Yes,Solved in Followup,Too many ads,5.0
42,fffe43004900440034003800390032003200,Erich Allsup,33.0,F,DE6ERGA,Town,Premium Membership,20170202,unknown,CID44139,Credit/Debit Card Offers,Desktop,WiFi,05:06:03,12.0,394.26,34697.85,190,752.3,Yes,No,Yes,No Information Available,Poor Website,3.0
43,fffe43004900440035003800380039003700,Geoffrey Toledo,17.0,M,EJMEVHN,City,Platinum Membership,20151220,No,,Gift Vouchers/Coupons,Desktop,WiFi,01:51:39,6.0,348.07,80893.05,40,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,1.0
44,fffe4300490044003900300031003500,Pam Seigler,36.0,M,C7QZITU,Village,Silver Membership,20161128,Yes,CID33962,Gift Vouchers/Coupons,unknown,MobileData,06:06:05,2.0,691.09,17989.46,Error,687.4398592783969,No,Yes,Yes,Solved,No reason specified,4.0
45,fffe43004900440033003000360031003100,Lore Yarber,12.0,M,B1XF70C,City,Premium Membership,20170213,No,,Without Offers,Desktop,MobileData,22:27:40,8.0,33.09,55607.35,Error,687.4398592783969,Yes,No,No,Not Applicable,User Friendly Website,1.0
46,fffe43004900440035003400340032003500,Mara Camacho,58.0,F,FBG1O5D,Village,Gold Membership,20171109,No,,Without Offers,Smartphone,MobileData,21:21:14,11.0,30.78,48080.03,100,713.62,Yes,No,No,Not Applicable,Poor Product Quality,3.0
47,fffe4300490044003300310034003000,Alysa Tosi,41.0,M,ZQ2RGSW,Town,Platinum Membership,20161120,No,,Without Offers,Both,FiberOptic,23:21:15,13.0,282.87,27528.03,270,743.8,Yes,No,No,Not Applicable,Poor Website,3.0
48,fffe43004900440032003800320037003300,Glendora Borel,30.0,M,TER02YR,City,Platinum Membership,20151211,unknown,CID4129,Gift Vouchers/Coupons,Smartphone,WiFi,14:13:01,20.0,100.42,80893.05,Error,719.93,No,Yes,Yes,Unsolved,Reasonable Price,2.0
49,fffe43004900440031003700390032003100,Lakendra Canup,50.0,M,HXIGRU3,City,Premium Membership,20151025,No,,Credit/Debit Card Offers,Desktop,WiFi,03:10:02,18.0,154.7,24197.4,290,687.4398592783969,No,Yes,Yes,Solved,Too many ads,3.0
51,fffe43004900440033003000380036003300,Sonny Valenzuela,38.0,M,B2MID6G,Town,Gold Membership,20171015,No,,Gift Vouchers/Coupons,Smartphone,MobileData,12:05:44,8.0,324.75,28535.13,270,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,3.0
